Areas;Unidade;2022;2021;2020;2019;2018;;;;
Nota: Inclui as seguintes classes de atividades da CAE Rev.3: 1811, 1812, 1813, 1814, 1820,3212, 3220, 4761, 4762, 4763, 5811, 5813, 5814, 5821, 5911, 5912, 5913, 5914, 5920, 6010, 6020, 6391, 7111, 7311, 7410, 7420, 7430, 7722, 8552, 9001, 9002, 9003, 9004, 9101,9102, 9103.;;;;;;;;;;
;;;;;;;;;;
Total de remunerações recebidas no ano (incluindo os subsídios de férias e de natal) dividido pelo número de meses trabalhados. (Um ano completo de trabalho determina a divisão do total de remunerações recebidas no ano por 12).;;;;;;;;;;
Fonte: Cálculos do Instituto Nacional de Estatística (INE) com base na Declaração Mensal de Remunerações da Segurança Social e na Relação Contributiva da Caixa Geral de Aposentações.;;;;;;;;;;
;;;;;;;;;;
1.6. COMÉRCIO INTERNACIONAL DE BENS CULTURAIS;;;;;;;;;;
1.6.1. Exportações de bens ;;;;;;;;;;
Total;1000 euros;238 090;199 465;168 763;195 415;167 956;;;;
PATRIMÓNIO CULTURAL;1000 euros;1 335;1 242;1 995;1 641;1 519;;;;
Antiguidades ;1000 euros;1 335;1 242;1 995;1 641;1 519;;;;
LIVROS E MATERIAIS IMPRESSOS;1000 euros;30 005;23 730;25 165;31 688;32 405;;;;
Livros;1000 euros;29 384;22 678;23 282;28 063;27 672;;;;
Jornais e Periódicos;1000 euros;542;1 008;1 857;3 614;4 714;;;;
Mapas e Gráficos Hidrográficos ou similares;1000 euros;79;43;26;11;19;;;;
ARTES VISUAIS;1000 euros;5 271;14 172;12 243;11 829;12 207;;;;
Fotografia;1000 euros;199;867;161;655;429;;;;
Objectos de arte (Pinturas, Gravuras, Esculturas, Desenhos);1000 euros;5 072;13 305;12 082;11 174;11 778;;;;
ARTESANATO;1000 euros;179 439;138 674;107 673;121 574;100 917;;;;
Artesanato (Fabrico manual e artigos ornamentais);1000 euros;103 028;85 208;68 079;65 002;59 228;;;;
Artigos de Joalharia (Metais e pedras preciosas e semi-preciosas);1000 euros;76 411;53 466;39 594;56 572;41 690;;;;
ARTES PERFORMATIVAS;1000 euros;9 798;7 802;7 844;9 323;6 686;;;;
Instrumentos Musicais( Partes de acessórios);1000 euros;9 798;7 802;7 844;9 323;6 686;;;;
AUDIOVISUAL E MULTIMÉDIA;1000 euros;12 006;13 739;13 678;18 405;14 052;;;;
Audiovisual e Média Interativa;1000 euros;1 634;2 717;3 700;5 138;1 899;;;;
CD´S;1000 euros;3 599;4 139;2 932;5 994;5 684;;;;
DVD'S;1000 euros;1 737;2 645;4 300;3 390;932;;;;
Outros Suportes;1000 euros;5 036;4 239;2 745;3 883;5 536;;;;
ARQUITETURA;1000 euros;236;107;165;955;171;;;;
Plantas e Desenhos de Arquitetura;1000 euros;236;107;165;955;171;;;;
Em percentagem do total das exportações;%;0,3;0,31;0,31;0,33;0,29;;;;
;;;;;;;;;;
1.6.2. Importações de bens ;;;;;;;;;;
Total;1000 euros;469 727;408 143;352 194;424 293;417 469;;;;
PATRIMÓNIO CULTURAL;1000 euros;487;1 833;2 050;2 112;1 029;;;;
Antiguidades ;1000 euros;487;1 833;2 050;2 112;1 029;;;;
LIVROS E MATERIAIS IMPRESSOS;1000 euros;135 226;105 156;107 880;114 034;134 581;;;;
Livros;1000 euros;64 378;52 548;54 741;55 161;71 875;;;;
Jornais e Periódicos;1000 euros;70 208;52 160;52 849;57 751;61 899;;;;
Mapas e Gráficos Hidrográficos ou similares;1000 euros;640;449;291;1 122;806;;;;
ARTES VISUAIS;1000 euros;13 290;33 307;16 756;20 965;24 557;;;;
Fotografia;1000 euros;459;504;632;994;1 238;;;;
Objectos de arte (Pinturas, Gravuras, Esculturas, Desenhos);1000 euros;12 831;32 803;16 125;19 972;23 319;;;;
ARTESANATO;1000 euros;175 109;112 359;80 166;129 684;115 279;;;;
Artesanato (Fabrico manual e artigos ornamentais);1000 euros;38 476;27 150;22 954;36 888;37 818;;;;
Artigos de Joalharia (Metais e pedras preciosas e semi-preciosas);1000 euros;136 633;85 209;57 212;92 796;77 461;;;;
ARTES PERFORMATIVAS;1000 euros;44 518;44 934;35 784;36 575;31 627;;;;
Instrumentos Musicais( Partes de acessórios);1000 euros;44 518;44 934;35 784;36 575;31 627;;;;
